股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600588,用友网络,45.31,-0.28,-0.61,3.28,23176757,1041072664,0.71,205.712,0.439,148201296969
SH600917,重庆燃气,6.49,-0.04,-0.61,-5.39,1197660,7781172,0.08,26.576,1.297,10197996600
SH688178,万德斯,29.14,-0.18,-0.61,-6.78,474071,13777915,1.38,18.169,,2476837174
SH688068,热景生物,39.36,-0.24,-0.61,0.95,733825,29051237,1.92,95.165,,2448047982
SZ002307,北新路桥,4.92,-0.03,-0.61,1.65,3708013,18272195.28,0.42,96.78,0,5188917621
SH601186,中国铁建,8.11,-0.05,-0.61,2.66,51404052,419018458,0.45,5.402,2.589,110130081565
SZ002280,*ST联络,1.62,-0.01,-0.61,12.5,56364208,91688474.38,3.2,,0,3526982474
SH688566,吉贝尔,24.09,-0.15,-0.62,-7.63,286789,6895314,0.71,38.291,,4503423144
SZ000046,泛海控股,3.22,-0.02,-0.62,-1.83,15158027,48799770.18,0.29,,3.106,16731766112
SH600582,天地科技,3.2,-0.02,-0.62,3.9,19154812,61224688,0.46,11.361,3.125,13243484454
SH601988,中国银行,3.2,-0.02,-0.62,0.63,110863665,355260112,0.05,5.428,5.969,942040931971
SZ002142,宁波银行,38.65,-0.24,-0.62,9.37,34639338,1344236866.84,0.58,16.269,1.294,232209829454
SH600755,厦门国贸,6.46,-0.04,-0.62,-3.29,7719096,49875880,0.42,5.28,3.384,12572787203
SZ300378,鼎捷软件,30.1,-0.19,-0.63,10.46,6705775,200135906.93,2.52,70.541,0.331,8011757725
SZ200488,晨鸣B,3.13,-0.02,-0.63,9.82,5882750,18503985,0.83,4.678,5.121,9340571666
SZ002399,海普瑞,17.27,-0.11,-0.63,0.29,2740002,47332227.76,0.22,23.106,0.886,25340205443
SH601288,农业银行,3.18,-0.02,-0.63,1.27,193065581,614986566,0.07,5.656,5.72,1112946047716
SH600865,百大集团,7.87,-0.05,-0.63,10.07,3553901,27966029,0.94,11.483,1.525,2961011287
SZ002873,新天药业,15.76,-0.1,-0.63,-3.08,408010,6412664.8,0.36,29.357,0.634,1846292558
SZ002731,萃华珠宝,6.35,-0.04,-0.63,-7.57,3359810,21241811.1,1.51,32.439,0.236,1626590600
SZ002516,旷达科技,3.18,-0.02,-0.63,-9.14,6930710,22056713.8,0.74,25.668,7.862,4677267009
SH603988,中电电机,10.97,-0.07,-0.63,-11.17,1062400,11663180,0.45,11.125,4.239,2580144000
SZ300811,铂科新材,71,-0.45,-0.63,-3.23,277200,19729074,0.99,41.76,0.423,4089600000
SH688277,天智航-U,44.15,-0.28,-0.63,15.79,1324159,58129110,3.59,110473.211,,18474242909
SH600493,凤竹纺织,4.68,-0.03,-0.64,-8.06,1655462,7703650,0.61,114.199,0.641,1272960000
SZ002883,中设股份,12.49,-0.08,-0.64,-1.73,587850,7359786.5,0.66,25.728,0.962,1626920571
SZ300868,杰美特,38.85,-0.25,-0.64,-12.99,1309524,50954841.13,4.31,45.128,,4972800000
SH688571,杭华股份,9.26,-0.06,-0.64,-8.32,4936573,46346942,6.79,31.725,,2963200000
SH600936,广西广电,3.11,-0.02,-0.64,-6.61,2459876,7667351,0.15,,0.643,5196891603
SH600108,亚盛集团,3.12,-0.02,-0.64,-15.68,12393289,38726447,0.64,137.828,0.144,6074375178
SZ300846,首都在线,20.2,-0.13,-0.64,-8.97,1591674,32126218.4,3.18,155.11,0.248,8308588795
SH600229,城市传媒,6.22,-0.04,-0.64,-7.72,1583316,9835111,0.23,12.761,3.215,4367037182
SH603220,中贝通信,14,-0.09,-0.64,-3.25,2498130,35062568,1.35,49.432,1.071,4728640000
SZ002369,卓翼科技,4.67,-0.03,-0.64,-10.36,18652822,85704051.39,3.24,44498.429,0,2693512183
SZ002939,长城证券,12.33,-0.08,-0.64,-4.2,13356226,165071422.97,0.8,27.268,0.892,38264987978
SZ002798,帝欧家居,20.32,-0.13,-0.64,-0.88,4493319,90790980.59,2.02,14.498,0.487,7903373860
SH900941,东信B股,0.456,-0.003,-0.65,4.11,387486,177098,0.13,29.67,1.239,572736029
